Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uu,60003302,2,"Tuesday, October 30, 2012 16:30:59 UTC",44.6200,-110.3598,1.3,2.00,10,"Yellowstone National Park, Wyoming"
ci,15238521,3,"Tuesday, October 30, 2012 16:28:34 UTC",33.3805,-116.8483,2.2,6.70,131,"Southern California"
us,2012hia5,6,"Tuesday, October 30, 2012 15:22:52 UTC",-17.9785,-178.5660,4.6,623.10,202,"Fiji region"
ak,10590192,1,"Tuesday, October 30, 2012 15:16:59 UTC",61.4072,-146.4965,2.4,21.10,24,"Southern Alaska"
ak,10590190,1,"Tuesday, October 30, 2012 15:13:21 UTC",61.5903,-140.8136,2.4,0.00,11,"Southern Yukon Territory, Canada"
ci,15238473,3,"Tuesday, October 30, 2012 15:09:43 UTC",35.9518,-117.6615,2.9,3.20,24,"Central California"
us,2012hia4,A,"Tuesday, October 30, 2012 14:10:59 UTC",52.2854,-131.9477,4.6,10.00,229,"Queen Charlotte Islands, Canada region"
nc,71871865,3,"Tuesday, October 30, 2012 13:51:05 UTC",37.4120,-118.5995,2.1,11.90,42,"Central California"
ak,10590168,1,"Tuesday, October 30, 2012 13:45:10 UTC",59.7873,-152.4823,2.6,65.70,17,"Southern Alaska"
us,b000dhdf,8,"Tuesday, October 30, 2012 13:12:29 UTC",-37.9492,177.6807,5.2,67.80,57,"off the east coast of the North Island of New Zealand"
ak,10590159,1,"Tuesday, October 30, 2012 13:12:29 UTC",59.8631,-154.1849,2.8,199.20,13,"Southern Alaska"
uu,60003287,2,"Tuesday, October 30, 2012 13:10:45 UTC",44.6117,-110.3818,1.5,4.40,18,"Yellowstone National Park, Wyoming"
ci,15238369,2,"Tuesday, October 30, 2012 13:00:50 UTC",33.3890,-116.8390,1.2,6.20,50,"Southern California"
ci,15238361,2,"Tuesday, October 30, 2012 12:55:44 UTC",33.3820,-116.8458,1.9,7.30,59,"Southern California"
nc,71871840,0,"Tuesday, October 30, 2012 12:53:55 UTC",38.7672,-122.7418,1.1,1.90,16,"Northern California"
us,b000dhcq,7,"Tuesday, October 30, 2012 12:53:40 UTC",12.5542,-87.9610,4.6,87.80,18,"near the coast of Nicaragua"
us,b000dhcp,5,"Tuesday, October 30, 2012 12:53:05 UTC",-24.7425,-179.6159,4.7,541.20,40,"south of the Fiji Islands"
ci,15238353,2,"Tuesday, October 30, 2012 12:52:32 UTC",34.0942,-117.2005,1.1,10.70,28,"Greater Los Angeles area, California"
uu,60003282,4,"Tuesday, October 30, 2012 12:52:17 UTC",44.6120,-110.3850,2.0,1.60,18,"Yellowstone National Park, Wyoming"
nc,71871825,1,"Tuesday, October 30, 2012 12:44:22 UTC",38.8148,-122.8187,1.5,3.40,31,"Northern California"
us,b000dhc8,7,"Tuesday, October 30, 2012 12:18:20 UTC",6.8357,-73.0563,4.4,148.20,88,"northern Colombia"
ak,10590146,1,"Tuesday, October 30, 2012 12:07:27 UTC",63.0427,-149.8422,2.0,47.40, 7,"Central Alaska"
uu,60003277,2,"Tuesday, October 30, 2012 11:58:35 UTC",44.6162,-110.3635,2.0,4.20, 9,"Yellowstone National Park, Wyoming"
us,b000dhbu,7,"Tuesday, October 30, 2012 11:43:54 UTC",-5.3411,102.7284,4.7,41.90,58,"southern Sumatra, Indonesia"
nn,00392475,9,"Tuesday, October 30, 2012 11:39:16 UTC",38.6954,-119.4862,1.1,9.20,13,"Nevada"
ak,10590138,1,"Tuesday, October 30, 2012 11:13:45 UTC",61.6936,-149.7714,1.3,48.40, 8,"Southern Alaska"
nc,71871805,1,"Tuesday, October 30, 2012 11:06:43 UTC",38.8275,-122.7960,1.6,3.40,36,"Northern California"
us,b000dhbt,4,"Tuesday, October 30, 2012 10:59:33 UTC",-18.2193,-174.8094,5.1,9.80,243,"Tonga"
ci,15238337,2,"Tuesday, October 30, 2012 10:47:17 UTC",33.3828,-116.8497,1.7,7.10,94,"Southern California"
ci,15238329,2,"Tuesday, October 30, 2012 10:32:50 UTC",33.4870,-116.5523,1.4,11.30,29,"Southern California"
ak,10590131,2,"Tuesday, October 30, 2012 10:20:08 UTC",51.7440,-178.5528,2.4,31.40,16,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15238321,3,"Tuesday, October 30, 2012 10:19:54 UTC",32.9060,-117.6928,1.7,11.40,28,"Gulf of Santa Catalina, California"
us,b000dhbn,3,"Tuesday, October 30, 2012 10:11:40 UTC",53.3912,108.0662,4.5,17.90,27,"Lake Baykal region, Russia"
ak,10590124,2,"Tuesday, October 30, 2012 10:02:51 UTC",63.0865,-151.6040,2.9,15.00,26,"Central Alaska"
ci,15238297,3,"Tuesday, October 30, 2012 09:53:51 UTC",33.9698,-116.7060,1.6,18.60,101,"Southern California"
nc,71871785,1,"Tuesday, October 30, 2012 09:41:11 UTC",38.8162,-122.8148,1.3,3.60,31,"Northern California"
pr,12304002,0,"Tuesday, October 30, 2012 09:40:47 UTC",18.7910,-64.4947,2.6,41.00, 3,"Virgin Islands region"
ci,15238289,2,"Tuesday, October 30, 2012 09:15:23 UTC",35.9627,-117.6685,1.8,3.20,38,"Central California"
ak,10590116,2,"Tuesday, October 30, 2012 09:01:59 UTC",52.9009,-163.7447,2.6,23.30,12,"south of Alaska"
ci,15238281,2,"Tuesday, October 30, 2012 08:53:14 UTC",33.4868,-115.8272,1.5,6.80,67,"Southern California"
us,b000dh9g,5,"Tuesday, October 30, 2012 08:44:21 UTC",2.7386,128.6643,4.4,224.50,36,"Halmahera, Indonesia"
